carat,cut,color,clarity,depth,table,price
0.72,Ideal,E,VS1,62.1,54.0,3690
1.0,Good,J,SI1,61.7,62.0,3690
0.96,Premium,H,SI2,59.4,56.0,3690
1.1,Ideal,F,I1,61.3,57.0,3690
0.94,Very Good,D,SI2,60.9,62.0,3691
0.71,Very Good,F,VVS1,61.8,58.0,3692
0.77,Very Good,F,VS2,62.6,55.0,3692
1.03,Ideal,G,SI2,60.4,56.0,3692
1.11,Premium,I,SI2,61.3,59.0,3692
1.03,Very Good,F,SI2,63.3,59.0,3692
1.03,Ideal,H,SI2,60.5,57.0,3692
1.23,Fair,E,I1,67.4,56.0,3692
0.97,Ideal,H,SI2,61.6,55.0,3694
0.74,Ideal,F,VS1,62.0,54.0,3694
1.21,Premium,J,VS2,59.0,60.0,3694
1.0,Ideal,F,SI2,62.3,56.0,3696
1.1,Good,H,SI2,57.6,61.0,3696
1.0,Good,E,SI2,57.7,65.0,3696
1.2,Very Good,H,I1,58.6,57.0,3696
0.9,Good,F,SI1,64.0,59.0,3696
1.0,Fair,E,SI1,66.5,55.0,3696
1.0,Premium,G,SI2,59.1,59.0,3696
1.0,Good,E,SI1,57.6,65.0,3696
1.1,Premium,G,SI2,63.0,59.0,3696
1.1,Premium,I,SI2,62.4,59.0,3696
1.1,Premium,J,VS2,61.2,57.0,3696
1.5,Good,I,I1,63.7,61.0,3696
1.2,Fair,H,SI2,65.6,57.0,3696
0.75,Ideal,D,VS1,62.4,54.0,3696
0.77,Ideal,E,VS1,62.0,56.0,3697
0.9,Very Good,E,SI2,63.5,58.0,3697
0.92,Ideal,G,SI2,63.0,57.0,3697
0.9,Fair,H,VS2,64.7,58.0,3697
0.82,Premium,E,VS2,59.7,61.0,3697
1.31,Premium,J,SI2,59.7,59.0,3697
1.01,Good,J,SI1,63.6,54.0,3699
0.9,Very Good,F,SI1,63.8,54.0,3699
0.9,Very Good,F,SI1,63.4,57.0,3699
0.9,Good,F,SI1,58.0,58.0,3699
1.0,Fair,G,SI1,66.1,62.0,3700
1.12,Very Good,G,SI2,63.4,57.0,3700
1.08,Premium,G,SI2,59.3,61.0,3701
1.02,Premium,H,SI2,59.2,59.0,3701
0.9,Good,H,VS2,63.6,61.0,3701
0.9,Premium,E,SI2,59.2,60.0,3701
0.71,Ideal,F,VS1,61.1,56.0,3701
0.71,Ideal,F,VS1,61.0,56.0,3701
0.71,Good,F,VS1,61.8,57.0,3701
0.77,Ideal,F,SI1,61.7,56.0,3702
0.91,Premium,E,SI2,61.1,59.0,3703
0.91,Very Good,E,SI2,62.8,61.0,3703
0.91,Very Good,I,SI1,62.8,57.0,3703
0.9,Premium,F,SI2,60.5,57.0,3704
0.9,Ideal,F,SI2,62.6,57.0,3704
0.9,Premium,F,SI2,60.1,59.0,3704
0.9,Premium,F,SI2,62.3,57.0,3704
0.9,Premium,F,SI2,58.0,57.0,3704
0.9,Premium,F,SI2,61.5,59.0,3704
0.9,Premium,F,SI2,62.0,61.0,3704
0.9,Premium,F,SI2,61.4,62.0,3704
0.9,Premium,F,SI2,60.3,55.0,3704
0.73,Very Good,F,VVS2,62.1,57.0,3705
0.85,Very Good,F,VS2,62.2,56.0,3705
0.71,Ideal,F,VVS2,61.2,55.0,3705
0.9,Very Good,D,SI2,62.9,59.0,3706
0.92,Very Good,D,SI2,63.7,57.0,3707
0.77,Ideal,H,VVS2,61.3,56.0,3707
0.72,Ideal,H,VVS1,61.8,56.0,3708
0.9,Very Good,I,VS2,58.7,60.0,3709
0.9,Very Good,I,VS2,60.7,59.0,3709
0.9,Very Good,I,VS2,63.0,60.0,3709
0.9,Very Good,I,VS2,59.9,58.0,3709
1.01,Very Good,F,SI2,59.5,57.0,3709
0.92,Premium,H,SI1,59.0,59.0,3709
0.86,Ideal,D,SI1,62.8,56.0,3709
0.91,Very Good,H,SI1,63.4,59.0,3710
0.75,Ideal,F,VVS2,61.9,54.0,3710
0.79,Ideal,I,VS2,60.9,56.0,3710
0.71,Ideal,F,VS1,60.9,57.0,3710
0.71,Ideal,F,VS1,60.8,56.0,3710
0.71,Ideal,F,VS1,61.5,56.0,3710
0.71,Ideal,F,VS1,61.9,56.0,3710
0.71,Ideal,F,VS1,61.4,56.0,3710
0.71,Ideal,F,VS1,61.5,57.0,3710
0.71,Ideal,F,VS1,61.3,56.0,3710
0.71,Ideal,F,VS1,60.9,56.0,3710
0.71,Ideal,F,VS1,61.9,56.0,3710
0.71,Ideal,F,VS1,61.8,55.0,3710
0.71,Ideal,F,VS1,61.5,56.0,3710
0.71,Ideal,F,VS1,61.4,57.0,3710
0.91,Very Good,G,SI1,63.5,61.0,3710
1.16,Premium,D,I1,61.8,59.0,3711
1.0,Premium,I,SI2,61.6,59.0,3712
1.0,Premium,J,SI1,60.8,58.0,3712
0.75,Ideal,D,SI1,61.1,56.0,3712
1.02,Premium,I,VS2,61.1,59.0,3713
0.78,Ideal,E,VS2,61.1,55.0,3713
0.92,Very Good,G,SI2,62.4,60.0,3713
0.8,Ideal,F,VS2,61.2,58.0,3713
1.0,Premium,G,SI2,61.4,61.0,3713
1.02,Premium,I,SI1,60.2,60.0,3713
1.02,Good,H,SI2,64.3,60.0,3713
1.02,Premium,H,SI2,61.3,57.0,3713
1.0,Very Good,G,SI2,63.1,63.0,3713
1.02,Very Good,H,SI2,63.4,63.0,3713
1.02,Premium,H,SI2,60.8,58.0,3713
1.02,Ideal,H,SI2,62.0,56.0,3713
1.02,Ideal,I,SI1,62.1,56.0,3713
0.9,Premium,F,SI1,61.3,58.0,3714
0.73,Ideal,E,VVS2,62.0,57.0,3714
0.9,Very Good,E,SI2,61.6,58.0,3715
0.9,Very Good,E,SI2,62.2,54.0,3715
0.79,Ideal,E,SI1,61.6,55.0,3715
0.76,Ideal,F,VVS2,60.9,57.0,3716
0.71,Ideal,D,VS1,60.9,58.0,3716
0.97,Good,J,VS2,60.0,56.0,3717
1.01,Premium,F,SI2,60.0,60.0,3717
1.01,Good,I,VS2,57.1,63.0,3717
0.75,Very Good,E,VS2,63.0,57.0,3718
0.9,Very Good,G,SI1,63.6,57.0,3718
0.9,Ideal,G,SI2,62.3,56.0,3718
0.9,Good,I,VVS2,64.8,55.0,3718
0.71,Premium,D,VS1,59.2,59.0,3718
1.04,Ideal,F,I1,61.6,57.0,3718
0.72,Very Good,E,VVS2,62.0,58.0,3719
0.73,Very Good,F,VVS1,60.6,56.0,3720
0.9,Very Good,I,VS2,61.2,57.0,3720
0.8,Very Good,F,VS1,62.6,57.0,3720
0.8,Very Good,F,VS1,62.3,57.0,3720
0.9,Premium,I,VS1,61.0,55.0,3720
0.77,Ideal,D,VS2,61.8,56.0,3721
1.01,Premium,J,VS2,61.0,61.0,3722
0.9,Ideal,G,SI2,61.5,57.0,3722
0.72,Ideal,D,SI1,61.2,56.0,3722
0.96,Very Good,G,SI2,62.6,59.0,3723
0.91,Ideal,E,SI2,61.1,58.0,3723
0.91,Ideal,E,SI2,61.8,53.0,3723
0.92,Good,I,VS1,60.9,63.0,3723
1.12,Premium,F,SI2,62.4,59.0,3723
0.95,Premium,G,SI2,59.5,56.0,3724
0.7,Very Good,E,VVS1,62.5,56.0,3724
0.7,Very Good,E,VVS1,60.9,59.0,3724
0.9,Very Good,F,SI1,61.6,56.0,3724
0.9,Good,F,SI1,63.1,57.0,3724
0.92,Very Good,G,SI1,63.8,57.0,3724
1.25,Premium,F,I1,58.0,59.0,3724
0.9,Ideal,I,VS1,61.8,56.0,3724
0.9,Good,E,SI2,62.1,63.0,3724
0.92,Premium,I,VS1,61.4,58.0,3725
0.7,Very Good,G,IF,63.0,59.0,3725
0.7,Ideal,G,VVS2,61.6,57.0,3725
0.9,Fair,H,VS2,64.6,54.0,3725
1.21,Good,E,I1,63.3,63.0,3726
0.91,Very Good,F,SI2,61.4,60.0,3726
1.1,Premium,J,SI2,59.6,59.0,3726
0.91,Ideal,I,VS2,62.2,59.0,3726
0.9,Good,H,SI1,57.1,56.0,3726
1.08,Very Good,E,SI2,63.5,56.0,3726
1.13,Ideal,E,I1,62.0,55.0,3729
1.03,Very Good,J,SI2,58.0,60.0,3729
0.97,Ideal,H,SI2,60.7,55.0,3729
1.11,Very Good,J,VS2,63.2,59.0,3730
0.9,Very Good,I,SI1,60.6,56.0,3730
0.9,Good,H,SI1,61.4,60.0,3730
0.91,Fair,D,SI1,64.7,61.0,3730
0.91,Fair,D,SI1,65.2,57.0,3730
0.91,Good,D,SI1,64.0,58.0,3730
0.9,Premium,I,VVS2,60.9,59.0,3730
1.11,Fair,H,SI2,64.4,58.0,3730
0.9,Premium,H,SI1,60.7,59.0,3730
0.98,Very Good,H,SI2,62.1,59.0,3731
1.01,Ideal,J,SI2,61.6,55.0,3732
1.01,Premium,H,SI2,59.6,60.0,3732
0.58,Ideal,D,VVS1,62.1,55.0,3732
0.76,Ideal,D,SI1,62.3,55.0,3732
0.8,Ideal,H,VVS1,61.8,57.0,3732
1.19,Ideal,H,I1,61.5,57.0,3732
1.27,Premium,I,I1,60.2,62.0,3732
1.01,Ideal,F,SI2,62.4,56.0,3733
1.01,Premium,F,SI2,62.7,58.0,3733
1.15,Good,J,SI2,63.8,60.0,3733
1.01,Good,G,SI1,64.3,55.0,3733
0.9,Good,F,SI1,61.0,62.0,3733
1.01,Premium,H,SI2,60.8,59.0,3733
1.01,Ideal,I,SI2,61.9,55.0,3733
1.01,Fair,H,VS2,65.2,56.0,3733
1.01,Premium,J,SI2,61.2,59.0,3733
0.9,Good,G,SI1,62.8,59.0,3734
0.9,Good,G,SI1,63.8,59.0,3734
0.9,Premium,G,SI1,62.2,60.0,3734
0.9,Good,G,SI1,63.2,59.0,3734
0.91,Very Good,H,SI1,62.2,60.0,3734
0.9,Good,I,IF,63.7,64.0,3734
0.9,Good,H,VS1,64.0,59.0,3734
0.9,Very Good,G,SI1,62.0,61.0,3734
0.9,Good,G,SI1,63.1,59.0,3734
0.9,Good,G,SI1,63.7,58.0,3734
0.9,Good,G,SI1,63.7,60.0,3734
0.91,Very Good,H,SI1,62.8,58.0,3734
0.91,Very Good,I,VS1,61.9,57.0,3734
0.9,Good,H,SI1,58.9,61.0,3734
1.13,Premium,I,SI2,62.1,60.0,3734
1.51,Fair,F,I1,67.8,59.0,3734
1.51,Fair,F,I1,67.5,56.0,3734
0.73,Ideal,D,VS2,62.6,55.0,3735
1.14,Good,I,SI2,60.0,65.0,3735
1.15,Premium,H,SI2,59.6,59.0,3735
0.78,Ideal,D,VS2,62.9,56.0,3736
0.78,Ideal,G,VS1,61.6,55.0,3736
0.9,Good,E,SI2,63.0,58.0,3736
0.8,Very Good,H,VVS1,61.9,56.0,3737
1.01,Good,E,SI2,63.9,58.0,3737
0.7,Ideal,D,VVS2,60.9,59.0,3737
0.93,Very Good,G,SI2,62.7,57.0,3738
1.03,Ideal,J,SI1,62.3,57.0,3738
0.71,Ideal,G,IF,60.9,57.0,3739
1.01,Ideal,G,SI2,61.5,57.0,3739
1.19,Very Good,G,SI2,63.4,56.0,3739
1.0,Good,H,SI2,63.2,60.0,3740
0.75,Ideal,G,VVS2,62.0,56.0,3740
1.0,Fair,F,SI2,65.1,60.0,3740
0.72,Ideal,F,VVS2,62.3,57.0,3740
1.06,Premium,J,SI2,61.3,60.0,3740
0.9,Premium,D,SI2,61.0,59.0,3740
0.9,Good,D,SI2,63.8,58.0,3740
0.9,Premium,D,SI2,62.3,58.0,3740
0.9,Good,D,SI2,63.6,57.0,3740
0.7,Ideal,F,VVS2,61.9,54.8,3741
0.58,Ideal,D,VVS1,62.2,56.0,3741
0.9,Good,I,VVS1,63.9,63.0,3741
1.08,Good,J,SI2,63.2,59.0,3742
1.05,Very Good,I,SI2,62.3,59.0,3742
0.87,Premium,D,SI1,58.8,56.0,3742
1.09,Very Good,D,SI2,63.4,59.0,3742
0.91,Premium,E,SI2,61.6,60.0,3743
0.91,Ideal,H,VS2,63.0,56.0,3743
1.03,Good,D,SI2,57.2,59.0,3743
0.9,Fair,E,SI1,64.9,56.0,3743
1.03,Fair,D,SI2,66.4,56.0,3743
0.92,Good,E,SI2,61.8,59.0,3744
0.78,Very Good,F,VS1,61.7,55.0,3744
0.93,Good,D,SI2,59.2,62.0,3744
1.02,Very Good,J,SI2,63.3,56.0,3745
1.13,Ideal,H,I1,62.2,55.0,3745
1.1,Premium,F,I1,59.8,61.0,3745
1.1,Ideal,F,I1,61.8,56.0,3745
1.52,Fair,I,I1,67.7,58.0,3745
0.91,Premium,F,SI2,62.6,58.0,3746
0.9,Very Good,J,VVS1,60.4,60.0,3746
0.72,Ideal,F,VVS2,60.9,56.0,3746
0.93,Very Good,E,SI2,63.0,58.0,3746
1.13,Premium,G,I1,61.2,58.0,3746
0.91,Premium,F,SI2,58.2,61.0,3746
0.91,Very Good,F,SI2,63.3,54.0,3746
0.74,Ideal,D,VS1,61.7,55.0,3746
0.91,Ideal,F,SI2,62.2,56.0,3746
0.91,Ideal,F,SI2,62.4,57.0,3746
0.91,Good,I,VS2,58.0,62.0,3747
0.9,Very Good,E,SI1,62.5,60.0,3748
0.71,Ideal,E,VS1,61.5,55.0,3748
0.92,Premium,F,SI1,62.6,59.0,3749
1.01,Very Good,J,SI1,62.9,56.0,3749
1.01,Premium,I,SI2,61.7,60.0,3749
1.03,Ideal,F,SI2,61.9,56.0,3749
0.63,Ideal,F,IF,60.9,57.0,3749
1.03,Fair,H,SI2,66.3,57.0,3749
1.03,Premium,H,SI2,62.7,62.0,3749
1.03,Premium,J,SI1,61.1,61.0,3749
1.03,Premium,H,SI2,62.0,60.0,3749
1.03,Premium,I,SI1,62.0,58.0,3749
0.9,Good,F,VS1,63.8,56.0,3750
1.08,Premium,I,SI2,60.1,59.0,3750
0.3,Ideal,F,VS2,60.5,58.0,573
0.33,Ideal,I,VS1,61.7,55.0,573
0.4,Ideal,G,SI2,62.6,54.0,573
0.4,Ideal,G,SI2,62.4,56.0,573
0.4,Ideal,G,SI2,62.1,53.0,573
0.4,Ideal,I,SI1,61.8,55.0,573
0.31,Ideal,H,SI1,61.4,55.0,573
0.31,Premium,H,SI1,59.0,57.0,573
0.31,Premium,H,SI1,62.3,55.0,573
0.31,Premium,H,SI1,61.1,55.0,573
0.31,Good,H,SI1,63.6,57.0,573
0.31,Premium,H,SI1,62.4,60.0,573
0.31,Premium,H,SI1,61.1,57.0,573
0.31,Ideal,H,SI1,62.7,56.0,573
0.31,Premium,H,SI1,60.5,60.0,573
0.31,Very Good,H,SI1,63.1,57.0,573
0.3,Ideal,D,SI2,60.2,56.0,574
0.31,Ideal,G,VS2,61.4,57.0,574
0.31,Ideal,G,VS2,61.4,56.0,574
0.34,Premium,G,SI2,62.8,58.0,574
0.34,Very Good,F,SI2,63.3,54.0,574
0.34,Premium,F,SI2,60.0,58.0,574
0.34,Premium,F,SI2,61.7,61.0,574
0.34,Premium,F,SI2,63.0,58.0,574
0.3,Premium,G,SI1,62.6,57.0,574
0.3,Premium,G,SI1,61.6,59.0,574
0.3,Good,G,SI1,63.8,56.0,574
0.3,Premium,G,SI1,61.4,57.0,574
0.3,Premium,G,SI1,59.8,57.0,574
0.3,Premium,G,SI1,59.7,60.0,574
0.77,Ideal,F,VS1,61.9,54.0,3750
0.95,Good,F,SI2,59.7,57.0,3750
0.9,Fair,F,VS1,65.7,59.0,3750
0.93,Premium,H,SI1,61.8,59.0,3750
0.9,Fair,F,VS2,65.7,57.0,3750
1.01,Premium,G,SI2,62.9,57.0,3750
0.93,Fair,H,SI1,64.6,58.0,3750
0.91,Very Good,E,SI2,63.8,60.0,3751
1.25,Premium,J,VS2,59.8,58.0,3751
0.92,Premium,G,SI1,61.5,60.0,3751
0.91,Ideal,I,VS2,62.2,56.0,3751
0.9,Fair,D,SI1,65.7,65.0,3751
0.9,Very Good,G,SI1,63.3,56.0,3752
0.9,Very Good,G,SI1,63.8,57.0,3752
0.7,Ideal,D,VS1,61.4,54.2,3752
0.9,Good,G,SI1,60.0,61.0,3752
1.0,Good,E,SI2,57.9,59.0,3752
1.0,Premium,E,SI2,61.0,59.0,3752
1.06,Very Good,J,SI2,62.0,58.0,3754
1.02,Fair,F,SI2,65.5,59.0,3754
1.02,Premium,F,SI2,62.5,58.0,3754
0.9,Good,D,SI1,64.1,56.0,3755
0.9,Good,D,SI1,63.6,63.0,3755
1.14,Ideal,F,I1,61.7,57.0,3755
1.03,Very Good,G,SI2,63.0,60.0,3755
1.02,Very Good,J,SI2,62.9,59.0,3755
0.77,Ideal,D,VS2,61.8,56.0,3755
0.91,Ideal,E,SI2,62.7,57.0,3756
0.91,Very Good,H,SI2,63.3,58.0,3756
0.81,Ideal,F,VS2,61.7,57.0,3756
1.01,Good,J,SI2,59.5,62.0,3756
0.86,Fair,G,VS1,64.6,58.8,3756
0.73,Ideal,E,VS1,61.7,57.0,3758
0.94,Premium,E,SI2,60.4,59.0,3758
0.61,Ideal,D,VVS2,61.7,56.0,3758
0.72,Ideal,F,VS1,61.6,56.0,3759
0.72,Ideal,F,VS1,61.5,56.0,3759
0.72,Ideal,F,VS1,60.7,57.0,3759
0.72,Ideal,F,VS1,61.7,56.0,3759
0.72,Ideal,F,VS1,61.4,56.0,3759
0.72,Ideal,F,VS1,61.0,55.0,3759
0.72,Ideal,F,VS1,61.3,56.0,3759
0.72,Ideal,F,VS1,61.5,56.0,3759
0.72,Ideal,F,VS1,60.5,56.0,3759
0.71,Very Good,E,VVS2,60.3,52.0,3760
0.79,Ideal,G,VVS2,62.1,56.0,3760
1.09,Ideal,E,SI2,59.4,57.0,3760
0.74,Ideal,H,IF,60.9,57.0,3760
1.01,Premium,I,SI2,60.5,61.0,3761
0.72,Very Good,F,VVS1,62.1,55.0,3762
0.91,Very Good,H,SI1,62.7,56.0,3762
1.04,Ideal,J,SI2,60.4,57.0,3762
0.92,Very Good,F,SI2,62.9,58.0,3763
0.91,Very Good,E,SI2,62.9,56.0,3763
0.91,Very Good,G,SI1,63.4,59.0,3763
0.7,Ideal,G,VVS1,61.6,57.0,3763
0.78,Ideal,D,VS2,61.9,56.0,3763
0.92,Ideal,F,SI2,61.5,56.0,3763
0.91,Ideal,F,SI2,60.3,57.0,3763
0.91,Good,D,SI2,64.7,57.0,3763
1.0,Fair,E,SI2,64.6,54.0,3763
1.0,Good,E,SI2,57.7,65.0,3763
1.0,Fair,I,VS1,65.3,55.0,3763
1.0,Premium,I,VS1,60.3,62.0,3763
1.0,Premium,E,SI2,60.7,58.0,3763
1.0,Good,I,VS1,64.0,53.0,3763
1.2,Ideal,H,I1,58.6,57.0,3763
1.12,Ideal,H,SI2,61.4,56.0,3763
1.0,Premium,I,VS1,60.1,62.0,3763
1.0,Fair,E,SI2,69.0,56.0,3763
1.0,Very Good,E,SI2,63.2,56.0,3763
0.91,Premium,G,SI1,62.6,56.0,3763
1.22,Fair,G,SI2,64.7,61.0,3763
1.0,Very Good,E,SI2,63.5,56.0,3763
0.9,Very Good,I,VS2,62.8,52.0,3764
1.51,Fair,H,I1,65.6,61.0,3765
1.03,Fair,G,SI2,65.6,58.0,3765
0.93,Very Good,I,VS2,63.1,58.0,3766
0.85,Ideal,G,SI1,62.1,56.0,3766
1.01,Premium,I,SI2,59.6,62.0,3767
0.76,Premium,E,VVS2,60.6,59.0,3767
1.0,Fair,D,SI2,65.6,66.0,3767
1.01,Good,F,SI2,64.0,56.0,3768
1.01,Good,F,SI2,63.1,58.0,3768
0.96,Premium,H,SI1,62.7,58.0,3768
1.02,Premium,D,I1,61.4,60.0,3769
1.02,Very Good,I,SI2,63.4,57.0,3769
1.02,Premium,H,SI2,59.2,59.0,3769
1.0,Good,J,VS2,58.7,61.0,3769
0.9,Good,F,SI2,58.0,57.0,3770
0.9,Very Good,F,SI2,62.0,61.0,3770
0.9,Very Good,F,SI2,61.4,62.0,3770
0.9,Premium,F,SI2,61.5,59.0,3770
1.01,Very Good,I,SI2,62.1,56.0,3770
0.9,Very Good,H,SI1,60.8,57.0,3770
0.9,Ideal,H,SI2,61.5,56.0,3770
1.02,Good,H,SI2,57.9,61.0,3770
0.91,Very Good,H,SI1,63.4,56.0,3771
0.91,Very Good,E,SI2,63.0,56.0,3772
0.9,Very Good,H,SI1,61.7,57.0,3772
0.91,Ideal,E,SI2,62.6,57.0,3772
0.71,Ideal,G,IF,61.8,57.0,3772
1.02,Good,D,SI2,58.9,65.0,3773
0.71,Ideal,E,VS2,61.9,55.0,3773
1.04,Premium,I,SI2,62.0,57.0,3774
1.04,Premium,I,SI2,62.0,57.0,3774
0.83,Very Good,I,VVS1,61.8,56.0,3774
1.29,Very Good,F,I1,58.2,61.0,3774
0.9,Premium,G,SI1,62.9,58.0,3774
0.9,Premium,G,SI1,60.6,61.0,3774
0.91,Ideal,E,SI2,62.5,56.0,3774
0.83,Ideal,D,SI2,62.0,55.0,3774
0.83,Ideal,F,SI1,62.0,55.0,3774
0.9,Premium,G,SI1,61.3,60.0,3774
0.9,Premium,G,SI1,62.7,59.0,3774
0.9,Good,G,SI1,63.8,61.0,3774
0.8,Ideal,H,IF,61.1,56.0,3774
0.9,Premium,G,SI1,62.7,58.0,3774
0.83,Ideal,E,SI1,61.6,56.0,3775
0.9,Good,H,VS2,63.6,55.0,3775
1.07,Ideal,J,SI1,60.8,56.0,3775
1.07,Premium,H,SI2,60.0,59.0,3775
0.91,Very Good,G,VS2,62.7,63.0,3776
0.91,Good,G,SI1,63.5,61.0,3776
1.06,Ideal,I,SI2,61.4,57.0,3777
0.73,Ideal,G,VVS2,62.4,57.0,3777
1.01,Ideal,F,SI2,61.3,57.0,3777
0.71,Premium,E,VVS1,62.7,60.0,3779
0.9,Good,F,SI1,62.7,58.0,3780
0.9,Good,F,SI1,62.9,57.0,3780
0.9,Very Good,F,SI1,61.3,58.0,3780
0.73,Ideal,E,VVS2,62.0,57.0,3780
1.04,Very Good,D,SI2,63.1,58.0,3780
1.04,Premium,D,SI2,58.3,58.0,3780
1.0,Good,J,SI1,63.8,59.0,3780
1.04,Premium,G,SI1,60.3,58.0,3780
1.0,Premium,J,SI1,62.8,59.0,3780
1.0,Fair,J,SI1,64.7,52.0,3780
1.0,Premium,I,SI2,62.5,56.0,3780
0.9,Ideal,G,SI1,60.3,56.0,3780
0.9,Premium,D,SI2,59.8,61.0,3780
0.72,Ideal,F,VVS2,60.9,56.0,3780
1.0,Premium,J,SI1,60.8,58.0,3780
1.0,Premium,I,SI2,61.6,59.0,3780
0.9,Premium,F,SI2,62.7,58.0,3780
1.04,Fair,D,SI2,65.8,58.0,3780
1.5,Premium,D,I1,62.4,60.0,3780
0.82,Ideal,H,VVS2,61.4,56.0,3781
0.91,Premium,D,SI2,62.3,57.0,3781
0.91,Good,D,SI2,63.8,58.0,3781
1.2,Premium,J,SI2,61.7,57.0,3782
1.01,Premium,H,SI2,62.3,60.0,3782
1.01,Premium,I,SI1,62.8,58.0,3782
1.07,Very Good,J,SI2,61.6,54.0,3783
0.73,Ideal,G,VVS2,61.0,56.0,3783
0.69,Ideal,F,VVS1,61.6,56.0,3784
0.73,Ideal,H,IF,62.3,55.0,3785
0.92,Good,I,VS2,59.6,61.0,3785
1.02,Ideal,I,SI2,60.7,57.0,3786
1.02,Good,I,SI2,63.6,56.0,3786
0.77,Ideal,G,VS2,61.7,55.0,3786
1.04,Ideal,H,SI2,60.5,57.0,3786
0.77,Very Good,D,VS2,59.6,57.0,3787
0.9,Very Good,G,SI2,63.2,58.0,3787
0.9,Very Good,F,SI2,62.4,59.0,3787
1.16,Premium,F,SI2,62.1,59.0,3787
0.85,Ideal,E,SI2,60.1,56.0,3787
0.9,Fair,F,SI2,62.6,58.0,3787
1.02,Fair,G,SI2,65.3,58.0,3787
0.92,Good,F,SI2,63.7,64.0,3787
0.92,Premium,F,SI2,62.1,59.0,3787
0.92,Premium,F,SI2,61.8,58.0,3787
0.7,Ideal,D,VS2,61.2,57.0,3788
1.0,Ideal,J,SI1,62.7,58.0,3788
1.23,Ideal,G,SI2,61.6,55.0,3788
1.0,Very Good,F,SI2,62.7,58.0,3789
1.0,Very Good,F,SI2,61.7,58.0,3789
0.9,Very Good,D,SI2,64.0,58.0,3789
1.01,Premium,J,VS1,63.0,55.0,3790
1.01,Premium,H,SI2,60.7,58.0,3790
1.0,Premium,J,VS2,60.3,58.0,3790
1.01,Premium,H,SI2,61.9,59.0,3790
1.24,Very Good,J,SI2,63.1,60.0,3791
0.59,Ideal,D,VVS1,62.3,54.0,3791
1.01,Very Good,I,SI2,59.2,59.0,3792
1.01,Very Good,I,SI2,61.4,63.0,3792
0.9,Good,G,VS2,63.9,61.0,3792
1.14,Premium,J,SI1,62.4,59.0,3792
1.01,Very Good,J,SI2,62.7,55.0,3793
0.8,Ideal,F,VS1,61.2,56.0,3793
1.19,Ideal,H,I1,60.3,57.0,3794
1.12,Very Good,E,SI2,60.9,63.0,3794
0.9,Ideal,H,SI2,62.3,57.0,3794
0.82,Very Good,E,VS2,60.4,61.0,3795
0.72,Ideal,F,VVS1,61.7,56.0,3795
1.21,Very Good,E,I1,63.3,63.0,3795
1.03,Good,J,VS2,63.7,56.0,3795
0.9,Good,E,SI1,63.9,57.0,3795
1.01,Very Good,G,SI2,62.7,58.0,3796
1.02,Very Good,J,VS2,59.3,58.0,3796
0.91,Good,D,SI1,64.0,58.0,3796
0.79,Very Good,E,VVS1,63.1,60.0,3796
0.9,Ideal,F,SI2,61.9,56.0,3796
0.73,Ideal,F,VS1,61.2,57.0,3797
0.73,Ideal,F,VS1,61.4,55.0,3797
1.13,Ideal,H,SI2,60.4,56.0,3797
1.13,Ideal,E,I1,62.0,55.0,3797
0.72,Very Good,E,VVS2,60.5,55.0,3798
0.79,Very Good,D,VS1,58.8,60.0,3798
0.9,Very Good,D,SI2,62.5,58.0,3798
0.82,Ideal,F,VS2,61.5,57.0,3798
0.9,Ideal,D,SI2,60.9,57.0,3798
0.9,Good,D,SI2,59.5,62.0,3798
0.71,Very Good,D,VVS2,62.3,60.0,3799
1.0,Good,F,SI2,64.1,58.0,3799
0.71,Ideal,F,VS1,61.9,56.0,3799
1.0,Very Good,F,SI2,63.2,59.0,3799
1.06,Ideal,H,SI2,60.4,57.0,3799
0.92,Very Good,H,SI1,60.6,60.0,3800
1.16,Ideal,I,SI2,62.4,55.0,3800
0.91,Ideal,E,SI2,62.2,57.0,3800
0.9,Premium,E,SI1,62.3,61.0,3800
0.78,Very Good,D,VS1,63.2,58.0,3800
0.9,Good,E,SI1,63.8,56.0,3800
1.01,Premium,E,SI2,60.4,57.0,3801
0.9,Good,G,VS2,64.0,59.0,3801
1.01,Premium,E,SI2,59.5,60.0,3801
0.71,Ideal,D,VS1,62.1,57.0,3801
1.0,Good,F,SI2,63.4,60.0,3801
1.01,Fair,E,SI2,60.0,60.0,3801
1.01,Ideal,J,SI2,61.6,55.0,3801
1.01,Fair,I,VS1,64.9,56.0,3801
1.01,Premium,E,SI2,61.8,61.0,3801
1.01,Very Good,E,SI2,63.4,58.0,3801
1.02,Fair,I,SI2,65.5,57.0,3802
0.93,Premium,G,SI2,61.7,60.0,3802
0.97,Ideal,H,SI2,61.6,56.0,3802
0.9,Very Good,F,SI2,61.8,60.0,3803
0.9,Premium,F,SI2,59.9,59.0,3803
0.9,Premium,F,SI2,58.9,59.0,3803
0.85,Premium,E,VS2,60.2,60.0,3803
0.9,Premium,E,SI2,60.1,62.0,3804
0.9,Ideal,E,SI2,62.1,56.0,3804
0.74,Ideal,H,VVS1,61.1,56.0,3804
0.74,Ideal,E,VS1,62.1,53.0,3804
1.11,Premium,G,SI2,62.5,57.0,3804
0.9,Ideal,I,VS2,61.3,56.0,3805
0.9,Ideal,G,SI2,62.7,53.0,3805
1.08,Premium,I,SI2,62.7,57.0,3805
